Japanese,Pronounce,English
こんにちは,Konnichiwa ,Hello
おはようございます,Ohayou gozaimasu ,Good morning
こんばんは,Konbanwa ,Good evening
さようなら,Sayonara ,Good bye
ください,Kudasai ,Please
ありがとうございます,Arigato gozaimas ,Thank you
お元気ですか?,O genki des ka? ,How are you?
"はい, 元気です","Hai, genki des ","I’m fine, thanks"
すみません,Sumimasen ,Excuse me / Sorry
私の名前は…です,Watashi no namae wa … des ,My name is
はい,Hai ,Yes
いいえ,Iie ,No
をください,O kudasai  …,I’d like
これは何ですか,Kore wa nan des ka? ,What is this
いくらですか,Ikura des ka? ,How much is this
お会計をお願いします,"Okaikei wo, onegaishimas","The bill / check, please"
クレジットカードは使えますか?,Kurejittokado wa tsukaemas ka? ,Do you accept credit cards?
トイレはどこですか?,Toire wa dokodes ka?,Where is the toilet?
英語を話せますか?,Eigo wa hanasemas ka?,Can you speak English?
訳してください,"Yakushite, kudasai?",Can you translate this for me?
分かりません,Wakarimasen ,I don’t understand
たすけて,Taskete ,Help
